Row ID;Row Name;Unk0;Face Param ID;Chara Init ID;Unk1;Text ID
1000;[CNT] Knight;0;1000;1000;1;288050
1001;[CNT] Enchanted Knight;0;1010;1010;2;288051
1002;[CNT] Prophet;0;1020;1020;3;288052
1003;[CNT] Champion;0;1030;1030;4;288053
1004;[CNT] Bloody Wolf;0;1040;1040;5;288054
2000;Vagabond;1;3100;3000;6;288100
2001;Warrior;1;3102;3001;7;288101
2002;Hero;1;3104;3002;8;288102
2003;Bandit;1;3106;3003;9;288103
2004;Astrologer;1;3108;3004;10;288104
2005;Prophet;1;3110;3005;11;288105
2006;Samurai;1;3114;3007;13;288107
2007;Prisoner;1;3116;3008;14;288108
2008;Confessor;1;3112;3006;12;288106
2009;Wretch;1;3118;3009;15;288109
2010;Battlemage;1;3100;3010;1;288110
2011;Assassin;1;3100;3011;2;288111
2012;Monk;1;3100;3012;3;288112
2013;Hound;1;3100;3013;4;288113
2014;Celebrant;1;3100;3014;5;288114
2015;Malenia's Chosen;1;3100;3015;5;288115
2016;Ancient Knight;1;3100;3016;5;288116
2017;Perfumer;1;3100;3017;5;288117
2018;Deathbed Companion;1;3100;3018;5;288118
2019;Fingerprint Knight;1;3100;3019;5;288119
2020;Erdtree Guardian;1;3100;3020;5;288120
2021;Marionette;1;3100;3021;5;288121
2022;Knight of the Night;1;3100;3022;5;288122
